filename,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1
confidence_1KNE_model_1,0.9136812090873718,0.9622877836227417,0.9403318166732788,0.0,0.9403318166732788,0.9070186018943787,0.9044320583343506,0.2751876711845398,0.3443712890148163,0.9676922559738159,0.9408213496208191,0.9676922559738159,0.9279459118843079,0.9403318166732788,0.9408213496208191
confidence_1KNE_model_17,0.9105048179626465,0.9579930305480957,0.946368932723999,0.0,0.946368932723999,0.9015387892723083,0.8857645392417908,0.2779815196990967,0.349445641040802,0.9608756303787231,0.9404544830322266,0.9608756303787231,0.9161202311515808,0.946368932723999,0.9404544830322266
confidence_1KNE_model_30,0.9085342288017273,0.9630089402198792,0.9491813778877258,0.0,0.9491813778877258,0.8983724117279053,0.8888298869132996,0.2767176926136017,0.3495863676071167,0.9664124846458435,0.9427324533462524,0.9664124846458435,0.9233229160308838,0.9491813778877258,0.9427324533462524
confidence_1KNE_model_7,0.9122307896614075,0.9593458771705627,0.9476214051246643,0.0,0.9476214051246643,0.9033831357955933,0.8913811445236206,0.27497002482414246,0.34161069989204407,0.9623253345489502,0.9426455497741699,0.9623253345489502,0.9175335168838501,0.9476214051246643,0.9426455497741699
confidence_1KNE_model_42,0.9064103364944458,0.9561753273010254,0.9376533627510071,0.0,0.9376533627510071,0.8985995054244995,0.8844926357269287,0.2831040322780609,0.37779903411865234,0.9612404704093933,0.9343503713607788,0.9612404704093933,0.9171656370162964,0.9376533627510071,0.9343503713607788
confidence_1KNE_model_4,0.9126576781272888,0.9646192193031311,0.9527936577796936,0.0,0.9527936577796936,0.9026236534118652,0.888363242149353,0.26979026198387146,0.3217277526855469,0.9675299525260925,0.9473036527633667,0.9675299525260925,0.9259606003761292,0.9527936577796936,0.9473036527633667
confidence_1KNE_model_20,0.910199761390686,0.9597950577735901,0.9477431178092957,0.0,0.9477431178092957,0.9008139371871948,0.8917941451072693,0.27601125836372375,0.3414892852306366,0.9629808068275452,0.9434045553207397,0.9629808068275452,0.9210077524185181,0.9477431178092957,0.9434045553207397
confidence_1KNE_model_34,0.9081361889839172,0.9553264379501343,0.9406400918960571,0.0,0.9406400918960571,0.9000101685523987,0.8870313763618469,0.2857888638973236,0.37805530428886414,0.9589414000511169,0.9343379139900208,0.9589414000511169,0.9104617834091187,0.9406400918960571,0.9343379139900208
confidence_1KNE_model_25,0.9091604351997375,0.9645072221755981,0.9488611221313477,0.0,0.9488611221313477,0.8992353081703186,0.8888567090034485,0.2710188329219818,0.3303733766078949,0.9683863520622253,0.9457351565361023,0.9683863520622253,0.927261471748352,0.9488611221313477,0.9457351565361023
confidence_1KNE_model_21,0.9101828932762146,0.9564728140830994,0.9447879195213318,0.0,0.9447879195213318,0.9015316367149353,0.889622151851654,0.28101521730422974,0.3580102026462555,0.9593489766120911,0.9390451908111572,0.9593489766120911,0.9138079285621643,0.9447879195213318,0.9390451908111572
confidence_1KNE_model_46,0.9051785469055176,0.9622300863265991,0.9440696835517883,0.0,0.9440696835517883,0.8954557180404663,0.8852778077125549,0.27646738290786743,0.3498530089855194,0.9667000770568848,0.9389201402664185,0.9667000770568848,0.9244627952575684,0.9440696835517883,0.9389201402664185
